,Duration,N_Packets,N_Bytes,Idle_timeout,Protocol,Source_ip,Destination_ip
1276,302.216, 23, 2669, 60,icmp,10.0.0.56,10.0.0.5
1277,290.992, 22, 2806, 60,icmp,10.0.0.57,10.0.0.5
1278,287.697, 21, 2574, 60,icmp,10.0.0.58,10.0.0.5
1279,274.848, 20, 2434, 60,icmp,10.0.0.59,10.0.0.5
1280,256.62, 19, 2242, 60,icmp,10.0.0.60,10.0.0.5
1281,233.873, 18, 2085, 60,icmp,10.0.0.61,10.0.0.5
1282,221.921, 17, 2099, 60,icmp,10.0.0.62,10.0.0.5
1283,215.722, 16, 2038, 60,icmp,10.0.0.63,10.0.0.5
1284,205.862, 15, 1915, 60,icmp,10.0.0.64,10.0.0.5
1285,200.297, 14, 1701, 60,icmp,10.0.0.65,10.0.0.5
1286,183.649, 13, 1679, 60,icmp,10.0.0.66,10.0.0.5
1287,172.993, 12, 1422, 60,icmp,10.0.0.67,10.0.0.5
1288,163.138, 11, 1511, 60,icmp,10.0.0.68,10.0.0.5
1289,140.244, 10, 1203, 60,icmp,10.0.0.69,10.0.0.5
1290,124.428, 9, 1139, 60,icmp,10.0.0.70,10.0.0.5
1291,116.007, 8, 909, 60,icmp,10.0.0.71,10.0.0.5
1292,99.732, 7, 834, 60,icmp,10.0.0.72,10.0.0.5
1293,91.272, 6, 638, 60,icmp,10.0.0.73,10.0.0.5
1294,68.457, 5, 736, 60,icmp,10.0.0.74,10.0.0.5
1295,48.718, 4, 548, 60,icmp,10.0.0.75,10.0.0.5
1296,31.374, 3, 353, 60,icmp,10.0.0.76,10.0.0.5
1297,15.745, 2, 273, 60,icmp,10.0.0.77,10.0.0.5
1298,0.657, 1, 154, 60,icmp,10.0.0.78,10.0.0.5
1299,869.095, 71, 8511, 60,icmp,10.0.0.2,10.0.0.5
1300,869.092, 71, 8511, 60,icmp,10.0.0.5,10.0.0.2
1301,869.032, 71, 8763, 60,icmp,10.0.0.3,10.0.0.5
1302,869.029, 71, 8763, 60,icmp,10.0.0.5,10.0.0.3
1303,868.98, 71, 8785, 60,icmp,10.0.0.4,10.0.0.5
1304,868.979, 71, 8785, 60,icmp,10.0.0.5,10.0.0.4
1305,868.921, 71, 8889, 60,icmp,10.0.0.5,10.0.0.5
1306,868.869, 71, 9276, 60,icmp,10.0.0.6,10.0.0.5
1307,868.867, 71, 9276, 60,icmp,10.0.0.5,10.0.0.6
1308,868.815, 71, 8349, 60,icmp,10.0.0.7,10.0.0.5
1309,868.812, 71, 8349, 60,icmp,10.0.0.5,10.0.0.7
1310,868.751, 71, 8857, 60,icmp,10.0.0.8,10.0.0.5
1311,868.749, 71, 8857, 60,icmp,10.0.0.5,10.0.0.8
1312,868.696, 71, 8529, 60,icmp,10.0.0.9,10.0.0.5
1313,868.694, 71, 8529, 60,icmp,10.0.0.5,10.0.0.9
1314,868.633, 71, 8819, 60,icmp,10.0.0.10,10.0.0.5
1315,868.632, 71, 8819, 60,icmp,10.0.0.5,10.0.0.10
