,Duration,N_Packets,N_Bytes,Idle_timeout,Protocol,Source_ip,Destination_ip
2632,678.264,46,5512,60,icmp,10.0.0.58,10.0.0.5
2633,665.415,45,5274,60,icmp,10.0.0.59,10.0.0.5
2634,647.187,44,5292,60,icmp,10.0.0.60,10.0.0.5
2635,624.44,43,5094,60,icmp,10.0.0.61,10.0.0.5
2636,612.488,42,5124,60,icmp,10.0.0.62,10.0.0.5
2637,606.289,41,4911,60,icmp,10.0.0.63,10.0.0.5
2638,596.429,40,4835,60,icmp,10.0.0.64,10.0.0.5
2639,590.864,39,4786,60,icmp,10.0.0.65,10.0.0.5
2640,574.216,38,4482,60,icmp,10.0.0.66,10.0.0.5
2641,563.56,37,4680,60,icmp,10.0.0.67,10.0.0.5
2642,553.705,36,4340,60,icmp,10.0.0.68,10.0.0.5
2643,530.811,35,4105,60,icmp,10.0.0.69,10.0.0.5
2644,514.995,34,3938,60,icmp,10.0.0.70,10.0.0.5
2645,506.574,33,3943,60,icmp,10.0.0.71,10.0.0.5
2646,490.299,32,3691,60,icmp,10.0.0.72,10.0.0.5
2647,481.839,31,3809,60,icmp,10.0.0.73,10.0.0.5
2648,459.024,30,3538,60,icmp,10.0.0.74,10.0.0.5
2649,439.285,29,3580,60,icmp,10.0.0.75,10.0.0.5
2650,421.941,28,3264,60,icmp,10.0.0.76,10.0.0.5
2651,406.312,27,3307,60,icmp,10.0.0.77,10.0.0.5
2652,391.224,26,3065,60,icmp,10.0.0.78,10.0.0.5
2653,383.517,25,3076,60,icmp,10.0.0.79,10.0.0.5
2654,364.521,24,2769,60,icmp,10.0.0.80,10.0.0.5
2655,343.318,23,2630,60,icmp,10.0.0.81,10.0.0.5
2656,331.779,22,2636,60,icmp,10.0.0.82,10.0.0.5
2657,315.705,21,2399,60,icmp,10.0.0.83,10.0.0.5
2658,291.533,20,2508,60,icmp,10.0.0.84,10.0.0.5
2659,276.991,19,2295,60,icmp,10.0.0.85,10.0.0.5
2660,261.339,18,2089,60,icmp,10.0.0.86,10.0.0.5
2661,251.083,17,1900,60,icmp,10.0.0.87,10.0.0.5
2662,234.881,16,1912,60,icmp,10.0.0.88,10.0.0.5
2663,213.781,15,1666,60,icmp,10.0.0.89,10.0.0.5
2664,194.451,14,1573,60,icmp,10.0.0.90,10.0.0.5
2665,172.292,13,1587,60,icmp,10.0.0.91,10.0.0.5
2666,152.505,12,1404,60,icmp,10.0.0.92,10.0.0.5
2667,138.029,11,1317,60,icmp,10.0.0.93,10.0.0.5
2668,119.621,10,1222,60,icmp,10.0.0.94,10.0.0.5
2669,108.388,9,992,60,icmp,10.0.0.95,10.0.0.5
2670,95.182,8,903,60,icmp,10.0.0.96,10.0.0.5
2671,86.253,7,707,60,icmp,10.0.0.97,10.0.0.5
2672,77.499,6,670,60,icmp,10.0.0.98,10.0.0.5
2673,56.415,5,482,60,icmp,10.0.0.99,10.0.0.5
2674,47.335,4,309,60,icmp,10.0.0.100,10.0.0.5
2675,34.9,3,286,60,icmp,10.0.0.101,10.0.0.5
2676,16.2,2,112,60,icmp,10.0.0.102,10.0.0.5
2677,8.123,1,11599,60,icmp,10.0.0.103,10.0.0.5
2678,1259.634,95,11599,60,icmp,10.0.0.2,10.0.0.5
2679,1259.631,95,11906,60,icmp,10.0.0.5,10.0.0.2
2680,1259.571,95,11906,60,icmp,10.0.0.3,10.0.0.5
2681,1259.568,95,11817,60,icmp,10.0.0.5,10.0.0.3
2682,1259.519,95,11817,60,icmp,10.0.0.4,10.0.0.5
2683,1259.518,95,12106,60,icmp,10.0.0.5,10.0.0.4
2684,1259.46,95,12178,60,icmp,10.0.0.5,10.0.0.5
2685,1259.408,95,12178,60,icmp,10.0.0.6,10.0.0.5
2686,1259.406,95,11205,60,icmp,10.0.0.5,10.0.0.6
2687,1259.354,95,11205,60,icmp,10.0.0.7,10.0.0.5
2688,1259.351,95,11846,60,icmp,10.0.0.5,10.0.0.7
2689,1259.29,95,11846,60,icmp,10.0.0.8,10.0.0.5
2690,1259.288,95,11553,60,icmp,10.0.0.5,10.0.0.8
2691,1259.235,95,11553,60,icmp,10.0.0.9,10.0.0.5
2692,1259.233,95,11541,60,icmp,10.0.0.5,10.0.0.9
2693,1259.172,95,11541,60,icmp,10.0.0.10,10.0.0.5
2694,1259.171,95,11478,60,icmp,10.0.0.5,10.0.0.10
2695,1239.791,94,11430,60,icmp,10.0.0.11,10.0.0.5
2696,1238.714,93,11324,60,icmp,10.0.0.12,10.0.0.5
2697,1218.604,92,11040,60,icmp,10.0.0.13,10.0.0.5
2698,1201.367,91,10661,60,icmp,10.0.0.14,10.0.0.5
2699,1186.392,90,11040,60,icmp,10.0.0.15,10.0.0.5
2700,1178.27,89,10567,60,icmp,10.0.0.16,10.0.0.5
2701,1164.884,88,11177,60,icmp,10.0.0.17,10.0.0.5
2702,1144.195,87,10834,60,icmp,10.0.0.18,10.0.0.5
2703,1123.624,86,10262,60,icmp,10.0.0.19,10.0.0.5
2704,1112.272,85,10569,60,icmp,10.0.0.20,10.0.0.5
2705,1110.034,84,9943,60,icmp,10.0.0.21,10.0.0.5
2706,1097.23,83,10506,60,icmp,10.0.0.22,10.0.0.5
2707,1085.299,82,10006,60,icmp,10.0.0.23,10.0.0.5
2708,1067.562,81,9799,60,icmp,10.0.0.24,10.0.0.5
2709,1062.957,80,9615,60,icmp,10.0.0.25,10.0.0.5
2710,1058.64,79,9585,60,icmp,10.0.0.26,10.0.0.5
2711,1047.119,78,9370,60,icmp,10.0.0.27,10.0.0.5
2712,1044.718,77,8975,60,icmp,10.0.0.28,10.0.0.5
2713,1037.698,76,9175,60,icmp,10.0.0.29,10.0.0.5
2714,1034.674,75,9166,60,icmp,10.0.0.30,10.0.0.5
2715,1029.331,74,8924,60,icmp,10.0.0.31,10.0.0.5
2716,1021.846,73,8746,60,icmp,10.0.0.32,10.0.0.5
2717,1002.638,72,8657,60,icmp,10.0.0.33,10.0.0.5
2718,981.287,71,8881,60,icmp,10.0.0.34,10.0.0.5
2719,976.684,70,8724,60,icmp,10.0.0.35,10.0.0.5
2720,961.236,69,8356,60,icmp,10.0.0.36,10.0.0.5
2721,952.459,68,8484,60,icmp,10.0.0.37,10.0.0.5
2722,933.698,67,7838,60,icmp,10.0.0.38,10.0.0.5
2723,913.906,66,8121,60,icmp,10.0.0.39,10.0.0.5
2724,893.769,65,8050,60,icmp,10.0.0.40,10.0.0.5
2725,882.888,64,8064,60,icmp,10.0.0.41,10.0.0.5
2726,875.927,63,7660,60,icmp,10.0.0.42,10.0.0.5
2727,860.011,62,7180,60,icmp,10.0.0.43,10.0.0.5
2728,840.502,61,7429,60,icmp,10.0.0.44,10.0.0.5
2729,820.999,60,7235,60,icmp,10.0.0.45,10.0.0.5
2730,817.999,59,7164,60,icmp,10.0.0.46,10.0.0.5
2731,803.248,58,6765,60,icmp,10.0.0.47,10.0.0.5
2732,795.76,57,6713,60,icmp,10.0.0.48,10.0.0.5
2733,792.583,56,6593,60,icmp,10.0.0.49,10.0.0.5
2734,783.428,55,6430,60,icmp,10.0.0.50,10.0.0.5
2735,771.71,54,6640,60,icmp,10.0.0.51,10.0.0.5
2736,766.324,53,6484,60,icmp,10.0.0.52,10.0.0.5
2737,759.15,52,6118,60,icmp,10.0.0.53,10.0.0.5
2738,743.652,51,6181,60,icmp,10.0.0.54,10.0.0.5
2739,736.107,50,5811,60,icmp,10.0.0.55,10.0.0.5
2740,722.802,49,6073,60,icmp,10.0.0.56,10.0.0.5
2741,711.578,48,5689,60,icmp,10.0.0.57,10.0.0.5
2742,708.283,47,5608,60,icmp,10.0.0.58,10.0.0.5
2743,695.434,46,5375,60,icmp,10.0.0.59,10.0.0.5
2744,677.206,45,5385,60,icmp,10.0.0.60,10.0.0.5
