"No.","Time","Source","Destination","Protocol","Length","Type","Code","Timestamp from icmp data","Info"
"577","271.679086559","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:15:21.000000000 PDT","Echo (ping) request  id=0x0e90, seq=263/1793, ttl=64 (reply in 578)"
"578","271.679120266","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:15:21.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=263/1793, ttl=64 (request in 577)"
"579","272.703320764","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:15:22.000000000 PDT","Echo (ping) request  id=0x0e90, seq=264/2049, ttl=64 (reply in 580)"
"580","272.703354117","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:15:22.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=264/2049, ttl=64 (request in 579)"
"581","273.727215435","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:15:23.000000000 PDT","Echo (ping) request  id=0x0e90, seq=265/2305, ttl=64 (reply in 582)"
"582","273.727261258","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:15:23.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=265/2305, ttl=64 (request in 581)"
"583","274.751430246","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:15:24.000000000 PDT","Echo (ping) request  id=0x0e90, seq=266/2561, ttl=64 (reply in 584)"
"584","274.751467931","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:15:24.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=266/2561, ttl=64 (request in 583)"
"585","275.775199139","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:15:25.000000000 PDT","Echo (ping) request  id=0x0e90, seq=267/2817, ttl=64 (reply in 586)"
"586","275.775231758","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:15:25.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=267/2817, ttl=64 (request in 585)"
"587","276.799205279","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:15:26.000000000 PDT","Echo (ping) request  id=0x0e90, seq=268/3073, ttl=64 (reply in 588)"
"588","276.799252594","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:15:26.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=268/3073, ttl=64 (request in 587)"
"589","277.823430608","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:15:27.000000000 PDT","Echo (ping) request  id=0x0e90, seq=269/3329, ttl=64 (reply in 590)"
"590","277.823460125","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:15:27.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=269/3329, ttl=64 (request in 589)"
"591","278.847478594","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:15:28.000000000 PDT","Echo (ping) request  id=0x0e90, seq=270/3585, ttl=64 (reply in 592)"
"592","278.847519695","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:15:28.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=270/3585, ttl=64 (request in 591)"
