"No.","Time","Source","Destination","Protocol","Length","Info"
"360","171.007897613","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=255/65280, ttl=64 (request in 359)"
"361","172.031794818","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=256/1, ttl=64 (reply in 362)"
"362","172.031830480","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=256/1, ttl=64 (request in 361)"
"363","173.056111039","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=257/257, ttl=64 (reply in 364)"
"364","173.056151355","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=257/257, ttl=64 (request in 363)"
"365","174.079830198","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=258/513, ttl=64 (reply in 366)"
"366","174.079870035","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=258/513, ttl=64 (request in 365)"
"367","175.103833981","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=259/769, ttl=64 (reply in 368)"
"368","175.103854167","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=259/769, ttl=64 (request in 367)"
"369","176.127714901","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=260/1025, ttl=64 (reply in 370)"
"370","176.127741107","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=260/1025, ttl=64 (request in 369)"
"371","177.152012449","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=261/1281, ttl=64 (reply in 372)"
"372","177.152049215","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=261/1281, ttl=64 (request in 371)"
"373","178.175763361","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=262/1537, ttl=64 (reply in 374)"
"374","178.175802234","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=262/1537, ttl=64 (request in 373)"
"375","179.199885644","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=263/1793, ttl=64 (reply in 376)"
"376","179.199918595","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=263/1793, ttl=64 (request in 375)"
"377","180.223871174","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=264/2049, ttl=64 (reply in 378)"
"378","180.223904209","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=264/2049, ttl=64 (request in 377)"
"379","181.247724605","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=265/2305, ttl=64 (reply in 380)"
"380","181.247758777","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=265/2305, ttl=64 (request in 379)"
"381","182.272157285","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=266/2561, ttl=64 (reply in 382)"
"382","182.272192946","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=266/2561, ttl=64 (request in 381)"
"383","183.295700973","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=267/2817, ttl=64 (reply in 384)"
"384","183.295734873","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=267/2817, ttl=64 (request in 383)"
"385","184.319781075","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=268/3073, ttl=64 (reply in 386)"
"386","184.319826764","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=268/3073, ttl=64 (request in 385)"
"387","185.343814810","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=269/3329, ttl=64 (reply in 388)"
"388","185.343850199","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=269/3329, ttl=64 (request in 387)"
"389","186.367707653","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=270/3585, ttl=64 (reply in 390)"
"390","186.367737065","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=270/3585, ttl=64 (request in 389)"
"391","187.391873722","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=271/3841, ttl=64 (reply in 392)"
"392","187.391907965","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=271/3841, ttl=64 (request in 391)"
"393","188.416050697","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=272/4097, ttl=64 (reply in 394)"
"394","188.416084623","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=272/4097, ttl=64 (request in 393)"
"395","189.439801895","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=273/4353, ttl=64 (reply in 396)"
"396","189.439825840","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=273/4353, ttl=64 (request in 395)"
"397","190.463898695","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=274/4609, ttl=64 (reply in 398)"
"398","190.463929885","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=274/4609, ttl=64 (request in 397)"
"399","191.488147183","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=275/4865, ttl=64 (reply in 400)"
"400","191.488185787","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=275/4865, ttl=64 (request in 399)"
"401","192.511822452","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=276/5121, ttl=64 (reply in 402)"
"402","192.511862697","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=276/5121, ttl=64 (request in 401)"
"403","193.535817923","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=277/5377, ttl=64 (reply in 404)"
"404","193.535854616","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=277/5377, ttl=64 (request in 403)"
"405","194.559866888","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=278/5633, ttl=64 (reply in 406)"
"406","194.559905633","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=278/5633, ttl=64 (request in 405)"
"407","195.584251222","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=279/5889, ttl=64 (reply in 408)"
"408","195.584300781","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=279/5889, ttl=64 (request in 407)"
"409","196.615709381","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=280/6145, ttl=64 (reply in 410)"
"410","196.615734849","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=280/6145, ttl=64 (request in 409)"
"411","197.632227116","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=281/6401, ttl=64 (reply in 412)"
"412","197.632352197","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=281/6401, ttl=64 (request in 411)"
"413","198.624453667","c6:e5:2b:e0:25:d9","9a:4a:25:5a:5e:8b","ARP","42","Who has 10.0.0.1? Tell 10.0.0.2"
"414","198.624463256","9a:4a:25:5a:5e:8b","c6:e5:2b:e0:25:d9","ARP","42","10.0.0.1 is at 9a:4a:25:5a:5e:8b"
"415","198.655796293","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=282/6657, ttl=64 (reply in 416)"
"416","198.655832405","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=282/6657, ttl=64 (request in 415)"
"417","199.679906130","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=283/6913, ttl=64 (reply in 418)"
"418","199.679944853","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=283/6913, ttl=64 (request in 417)"
"419","200.703641384","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=284/7169, ttl=64 (reply in 420)"
"420","200.703665240","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=284/7169, ttl=64 (request in 419)"
"421","201.728222150","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=285/7425, ttl=64 (reply in 422)"
"422","201.728259683","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=285/7425, ttl=64 (request in 421)"
"423","202.751813810","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=286/7681, ttl=64 (reply in 424)"
"424","202.751853864","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=286/7681, ttl=64 (request in 423)"
"425","203.775772755","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=287/7937, ttl=64 (reply in 426)"
"426","203.775806530","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=287/7937, ttl=64 (request in 425)"
"427","204.800068341","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=288/8193, ttl=64 (reply in 428)"
"428","204.800104088","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=288/8193, ttl=64 (request in 427)"
"429","205.823788363","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=289/8449, ttl=64 (reply in 430)"
"430","205.823828082","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=289/8449, ttl=64 (request in 429)"
"431","206.847821197","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=290/8705, ttl=64 (reply in 432)"
"432","206.847861098","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=290/8705, ttl=64 (request in 431)"
"433","207.871928540","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=291/8961, ttl=64 (reply in 434)"
"434","207.871970167","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=291/8961, ttl=64 (request in 433)"
"435","208.896276903","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=292/9217, ttl=64 (reply in 436)"
"436","208.896316432","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=292/9217, ttl=64 (request in 435)"
