Packet,RTT
IP / ICMP 10.0.0.1 > 10.0.0.2 echo-request 0,0.1961221694946289
IP / ICMP 10.0.0.1 > 10.0.0.3 echo-request 0,0.18736696243286133
IP / ICMP 10.0.0.1 > 10.0.0.4 echo-request 0,0.23196768760681152
IP / ICMP 10.0.0.1 > 10.0.0.5 echo-request 0,0.20198416709899902
IP / ICMP 10.0.0.1 > 10.0.0.6 echo-request 0,0.15615582466125488
IP / ICMP 10.0.0.1 > 10.0.0.7 echo-request 0,0.1855776309967041
IP / ICMP 10.0.0.1 > 10.0.0.8 echo-request 0,0.15602445602416992
IP / ICMP 10.0.0.1 > 10.0.0.9 echo-request 0,0.17043137550354004
IP / ICMP 10.0.0.1 > 10.0.0.10 echo-request 0,0.20394682884216309
IP / ICMP 10.0.0.1 > 10.0.0.2 echo-request 0,0.10832071304321289
IP / ICMP 10.0.0.1 > 10.0.0.3 echo-request 0,0.10830354690551758
IP / ICMP 10.0.0.1 > 10.0.0.4 echo-request 0,0.13650274276733398
IP / ICMP 10.0.0.1 > 10.0.0.5 echo-request 0,0.09274888038635254
IP / ICMP 10.0.0.1 > 10.0.0.6 echo-request 0,0.0934898853302002
IP / ICMP 10.0.0.1 > 10.0.0.7 echo-request 0,0.12074828147888184
IP / ICMP 10.0.0.1 > 10.0.0.8 echo-request 0,0.0912179946899414
IP / ICMP 10.0.0.1 > 10.0.0.9 echo-request 0,0.12371540069580078
IP / ICMP 10.0.0.1 > 10.0.0.10 echo-request 0,0.060971736907958984
IP / ICMP 10.0.0.1 > 10.0.0.2 echo-request 0,0.0557558536529541
IP / ICMP 10.0.0.1 > 10.0.0.3 echo-request 0,0.10818982124328613
IP / ICMP 10.0.0.1 > 10.0.0.4 echo-request 0,0.0783083438873291
IP / ICMP 10.0.0.1 > 10.0.0.5 echo-request 0,0.05110740661621094
IP / ICMP 10.0.0.1 > 10.0.0.6 echo-request 0,0.07700610160827637
IP / ICMP 10.0.0.1 > 10.0.0.7 echo-request 0,0.12421131134033203
IP / ICMP 10.0.0.1 > 10.0.0.8 echo-request 0,0.1387019157409668
IP / ICMP 10.0.0.1 > 10.0.0.9 echo-request 0,0.0915830135345459
IP / ICMP 10.0.0.1 > 10.0.0.10 echo-request 0,0.1227571964263916
IP / ICMP 10.0.0.1 > 10.0.0.2 echo-request 0,0.12311816215515137
IP / ICMP 10.0.0.1 > 10.0.0.3 echo-request 0,0.12408590316772461
IP / ICMP 10.0.0.1 > 10.0.0.4 echo-request 0,0.09151220321655273
IP / ICMP 10.0.0.1 > 10.0.0.5 echo-request 0,0.09282612800598145
IP / ICMP 10.0.0.1 > 10.0.0.6 echo-request 0,0.12256908416748047
IP / ICMP 10.0.0.1 > 10.0.0.7 echo-request 0,0.10742044448852539
IP / ICMP 10.0.0.1 > 10.0.0.8 echo-request 0,0.06505417823791504
IP / ICMP 10.0.0.1 > 10.0.0.9 echo-request 0,0.0772554874420166
IP / ICMP 10.0.0.1 > 10.0.0.10 echo-request 0,0.07899999618530273
IP / ICMP 10.0.0.1 > 10.0.0.2 echo-request 0,0.1858375072479248
IP / ICMP 10.0.0.1 > 10.0.0.3 echo-request 0,0.2629361152648926
IP / ICMP 10.0.0.1 > 10.0.0.4 echo-request 0,0.21657133102416992
IP / ICMP 10.0.0.1 > 10.0.0.5 echo-request 0,0.12415075302124023
IP / ICMP 10.0.0.1 > 10.0.0.6 echo-request 0,0.1999683380126953
IP / ICMP 10.0.0.1 > 10.0.0.7 echo-request 0,0.20291733741760254
IP / ICMP 10.0.0.1 > 10.0.0.8 echo-request 0,0.21999239921569824
IP / ICMP 10.0.0.1 > 10.0.0.9 echo-request 0,0.2645106315612793
IP / ICMP 10.0.0.1 > 10.0.0.10 echo-request 0,0.1712653636932373
IP / ICMP 10.0.0.1 > 10.0.0.2 echo-request 0,0.07680201530456543
IP / ICMP 10.0.0.1 > 10.0.0.3 echo-request 0,0.12334322929382324
IP / ICMP 10.0.0.1 > 10.0.0.4 echo-request 0,0.09346270561218262
IP / ICMP 10.0.0.1 > 10.0.0.5 echo-request 0,0.1081700325012207
IP / ICMP 10.0.0.1 > 10.0.0.6 echo-request 0,0.0790700912475586
IP / ICMP 10.0.0.1 > 10.0.0.7 echo-request 0,0.051088571548461914
IP / ICMP 10.0.0.1 > 10.0.0.8 echo-request 0,0.09211921691894531
IP / ICMP 10.0.0.1 > 10.0.0.9 echo-request 0,0.07807254791259766
IP / ICMP 10.0.0.1 > 10.0.0.10 echo-request 0,0.108184814453125
IP / ICMP 10.0.0.1 > 10.0.0.2 echo-request 0,0.13770556449890137
IP / ICMP 10.0.0.1 > 10.0.0.3 echo-request 0,0.06481790542602539
