,Unnamed: 0,Duration,N_Packets,N_Bytes,Idle_timeout,Protocol,Source_ip,Destination_ip,arrival_frequency
0,14,87.496,17,6565,60,icmp,10.0.0.10,10.0.0.5,0.123611625
1,14,117.538,19,1027,60,icmp,10.0.0.10,10.0.0.5,0.136623375
2,14,147.578,21,1209,60,icmp,10.0.0.10,10.0.0.5,0.156140975
3,14,177.618,24,1501,60,icmp,10.0.0.10,10.0.0.5,0.1756586
4,14,207.664,27,1860,60,icmp,10.0.0.10,10.0.0.5,0.21469385
5,14,237.701,33,2622,60,icmp,10.0.0.10,10.0.0.5,0.221199725
6,53,267.743,34,2772,60,icmp,10.0.0.10,10.0.0.5,0.24071735
7,93,297.791,37,3186,60,icmp,10.0.0.10,10.0.0.5,0.2537291
8,135,327.843,39,3447,60,icmp,10.0.0.10,10.0.0.5,0.260234975
9,180,357.893,40,3545,60,icmp,10.0.0.10,10.0.0.5,0.2797526
10,226,387.951,43,3941,60,icmp,10.0.0.10,10.0.0.5,0.29276435
11,275,418.005,45,4157,60,icmp,10.0.0.10,10.0.0.5,0.3057761
12,325,448.033,47,4389,60,icmp,10.0.0.10,10.0.0.5,0.3317996
13,378,478.081,51,4866,60,icmp,10.0.0.10,10.0.0.5,0.351317225
14,435,508.12,54,5287,60,icmp,10.0.0.10,10.0.0.5,0.37083485
15,495,538.18,57,5659,60,icmp,10.0.0.10,10.0.0.5,0.390352475
16,558,568.238,60,6034,60,icmp,10.0.0.10,10.0.0.5,0.39685835
17,624,598.264,61,6121,60,icmp,10.0.0.10,10.0.0.5,0.416375975
18,691,628.282,64,6490,60,icmp,10.0.0.10,10.0.0.5,0.435893575
19,761,658.317,67,6938,60,icmp,10.0.0.10,10.0.0.5,0.448905325
20,833,688.375,69,7202,60,icmp,10.0.0.10,10.0.0.5,0.461917075
21,908,718.419,71,7439,60,icmp,10.0.0.10,10.0.0.5,0.4814347
22,985,748.457,74,7792,60,icmp,10.0.0.10,10.0.0.5,0.487940575
23,1065,778.5,75,7923,60,icmp,10.0.0.10,10.0.0.5,0.500952325
24,1146,808.539,77,8154,60,icmp,10.0.0.10,10.0.0.5,0.513964075
25,1229,838.586,79,8414,60,icmp,10.0.0.10,10.0.0.5,0.526975825
26,1314,868.633,81,8656,60,icmp,10.0.0.10,10.0.0.5,0.539987575
27,1401,898.654,83,8915,60,icmp,10.0.0.10,10.0.0.5,0.54649345
28,1491,928.705,84,9070,60,icmp,10.0.0.10,10.0.0.5,0.5595052
29,1581,958.748,86,9313,60,icmp,10.0.0.10,10.0.0.5,0.57251695
30,1673,988.811,88,9551,60,icmp,10.0.0.10,10.0.0.5,0.5855287
31,1767,1018.862,90,9794,60,icmp,10.0.0.10,10.0.0.5,0.592034575
32,1863,1048.884,91,9915,60,icmp,10.0.0.10,10.0.0.5,0.605046325
33,1960,1078.909,93,10132,60,icmp,10.0.0.10,10.0.0.5,0.618058075
34,2059,1108.955,95,10407,60,icmp,10.0.0.10,10.0.0.5,0.6375757
35,2159,1139.01,98,10720,60,icmp,10.0.0.10,10.0.0.5,0.65058745
36,2262,1169.051,100,10932,60,icmp,10.0.0.10,10.0.0.5,0.6635992
37,2367,1199.104,102,11223,60,icmp,10.0.0.10,10.0.0.5,0.6635992
38,2475,1199.104,102,11223,60,icmp,10.0.0.10,10.0.0.5,0.67661095
39,2583,1229.153,104,11413,60,icmp,10.0.0.10,10.0.0.5,0.683116825
40,2693,1259.172,105,11497,60,icmp,10.0.0.10,10.0.0.5,0.702634425
41,2803,1289.217,108,11935,60,icmp,10.0.0.10,10.0.0.5,0.7091403
42,2916,1319.264,109,12078,60,icmp,10.0.0.10,10.0.0.5,5.444102675
43,2458,17.286,11,11255,60,icmp,10.0.0.100,10.0.0.5,5.444102675
44,2566,17.286,11,11484,60,icmp,10.0.0.100,10.0.0.5,6.433939525
45,2674,47.335,13,305,60,icmp,10.0.0.100,10.0.0.5,6.92885795
46,2784,77.354,14,466,60,icmp,10.0.0.100,10.0.0.5,7.9186948
47,2894,107.399,16,724,60,icmp,10.0.0.100,10.0.0.5,8.90853165
48,3007,137.447,18,1004,60,icmp,10.0.0.100,10.0.0.5,6
49,2459,4.851,102,11255,60,icmp,10.0.0.101,10.0.0.5,7
50,2567,4.851,104,11484,60,icmp,10.0.0.101,10.0.0.5,7.2838296
51,2675,34.9,12,131,60,icmp,10.0.0.101,10.0.0.5,7.8908154
52,2785,64.919,13,243,60,icmp,10.0.0.101,10.0.0.5,9.104787
53,2895,94.964,15,494,60,icmp,10.0.0.101,10.0.0.5,10.3187586
54,3008,125.012,17,728,60,icmp,10.0.0.101,10.0.0.5,8.9797751
55,2676,16.2,11,11618,60,icmp,10.0.0.102,10.0.0.5,9.7961183
56,2786,46.219,12,132,60,icmp,10.0.0.102,10.0.0.5,11.42880468
57,2896,76.264,14,393,60,icmp,10.0.0.102,10.0.0.5,13.06149105
58,3009,106.312,16,571,60,icmp,10.0.0.102,10.0.0.5,9.8
59,2677,8.123,105,11618,60,icmp,10.0.0.103,10.0.0.5,10.3438386
60,2787,38.142,11,12021,60,icmp,10.0.0.103,10.0.0.5,12.22453653
61,2897,68.187,13,298,60,icmp,10.0.0.103,10.0.0.5,14.10523445
62,3010,98.235,15,538,60,icmp,10.0.0.103,10.0.0.5,14.7
63,2788,18.816,108,12250,60,icmp,10.0.0.104,10.0.0.5,16.37264133
64,2898,48.861,12,134,60,icmp,10.0.0.104,10.0.0.5,19.10141488
65,3011,78.909,14,317,60,icmp,10.0.0.104,10.0.0.5,28.5365917
66,2899,23.523,11,12169,60,icmp,10.0.0.105,10.0.0.5,33.7250629
67,3012,53.571,13,255,60,icmp,10.0.0.105,10.0.0.5,5.64
68,2900,3.895,109,12169,60,icmp,10.0.0.106,10.0.0.5,6.3
69,3013,33.943,12,150,60,icmp,10.0.0.106,10.0.0.5,20
70,3014,26.231,11,24,60,icmp,10.0.0.107,10.0.0.5,25
71,3015,0.795,1,5,60,icmp,10.0.0.108,10.0.0.5,0.1003074
72,16,68.115,15,1756,60,icmp,10.0.0.11,10.0.0.5,0.1136817
73,16,98.157,17,724,60,icmp,10.0.0.11,10.0.0.5,0.127056025
74,16,128.197,19,1014,60,icmp,10.0.0.11,10.0.0.5,0.1471175
75,16,158.237,22,1390,60,icmp,10.0.0.11,10.0.0.5,0.167178975
76,16,188.283,25,1759,60,icmp,10.0.0.11,10.0.0.5,0.20730195
77,16,218.32,31,2459,60,icmp,10.0.0.11,10.0.0.5,0.2139891
78,55,248.362,32,2620,60,icmp,10.0.0.11,10.0.0.5,0.234050575
79,95,278.41,35,2972,60,icmp,10.0.0.11,10.0.0.5,0.2474249
80,137,308.462,37,3244,60,icmp,10.0.0.11,10.0.0.5,0.25411205
81,182,338.512,38,3374,60,icmp,10.0.0.11,10.0.0.5,0.27417355
82,228,368.57,41,3725,60,icmp,10.0.0.11,10.0.0.5,0.28754785
83,277,398.624,43,3958,60,icmp,10.0.0.11,10.0.0.5,0.300922175
84,327,428.652,45,4155,60,icmp,10.0.0.11,10.0.0.5,0.327670825
85,380,458.7,49,4615,60,icmp,10.0.0.11,10.0.0.5,0.3477323
86,437,488.739,52,4974,60,icmp,10.0.0.11,10.0.0.5,0.367793775
87,497,518.799,55,5294,60,icmp,10.0.0.11,10.0.0.5,0.38785525
88,560,548.857,58,5667,60,icmp,10.0.0.11,10.0.0.5,0.3945424
89,626,578.883,59,5811,60,icmp,10.0.0.11,10.0.0.5,0.414603875
90,693,608.901,62,6165,60,icmp,10.0.0.11,10.0.0.5,0.434665375
91,763,638.936,65,6575,60,icmp,10.0.0.11,10.0.0.5,0.448039675
92,835,668.994,67,6858,60,icmp,10.0.0.11,10.0.0.5,0.461414
93,910,699.038,69,7146,60,icmp,10.0.0.11,10.0.0.5,0.481475475
94,987,729.076,72,7569,60,icmp,10.0.0.11,10.0.0.5,0.48816265
95,1067,759.119,73,7655,60,icmp,10.0.0.11,10.0.0.5,0.50153695
96,1148,789.158,75,7904,60,icmp,10.0.0.11,10.0.0.5,0.514911275
97,1231,819.205,77,8106,60,icmp,10.0.0.11,10.0.0.5,0.5282856
98,1316,849.252,79,8322,60,icmp,10.0.0.11,10.0.0.5,0.541659925
99,1403,879.273,81,8612,60,icmp,10.0.0.11,10.0.0.5,0.548347075
100,1493,909.324,82,8729,60,icmp,10.0.0.11,10.0.0.5,0.5617214
101,1583,939.367,84,9011,60,icmp,10.0.0.11,10.0.0.5,0.575095725
102,1675,969.43,86,9259,60,icmp,10.0.0.11,10.0.0.5,0.588470025
103,1769,999.481,88,9474,60,icmp,10.0.0.11,10.0.0.5,0.5951572
104,1865,1029.503,89,9616,60,icmp,10.0.0.11,10.0.0.5,0.6085315
105,1962,1059.528,91,9871,60,icmp,10.0.0.11,10.0.0.5,0.621905825
106,2061,1089.574,93,10062,60,icmp,10.0.0.11,10.0.0.5,0.6419673
107,2161,1119.629,96,10410,60,icmp,10.0.0.11,10.0.0.5,0.655341625
108,2264,1149.67,98,10673,60,icmp,10.0.0.11,10.0.0.5,0.66871595
109,2369,1179.723,100,10921,60,icmp,10.0.0.11,10.0.0.5,20
110,2477,1179.723,100,10921,60,icmp,10.0.0.11,10.0.0.5,25
111,2585,1209.772,102,11189,60,icmp,10.0.0.11,10.0.0.5,24
112,2695,1239.791,103,11343,60,icmp,10.0.0.11,10.0.0.5,25
113,2805,1269.836,106,11684,60,icmp,10.0.0.11,10.0.0.5,25
114,2918,1299.883,107,11780,60,icmp,10.0.0.11,10.0.0.5,6
115,17,67.038,14,4565,60,icmp,10.0.0.12,10.0.0.5,24
116,17,97.08,16,629,60,icmp,10.0.0.12,10.0.0.5,22
117,17,127.12,18,891,60,icmp,10.0.0.12,10.0.0.5,22
118,17,157.16,21,1208,60,icmp,10.0.0.12,10.0.0.5,23
119,17,187.206,24,1570,60,icmp,10.0.0.12,10.0.0.5,24
120,17,217.243,30,2302,60,icmp,10.0.0.12,10.0.0.5,29
121,56,247.285,31,2402,60,icmp,10.0.0.12,10.0.0.5,28
122,96,277.333,34,2773,60,icmp,10.0.0.12,10.0.0.5,27
123,138,307.385,36,2988,60,icmp,10.0.0.12,10.0.0.5,0.247808625
124,183,337.435,37,3095,60,icmp,10.0.0.12,10.0.0.5,0.2679012
125,229,367.493,40,3536,60,icmp,10.0.0.12,10.0.0.5,0.281296275
126,278,397.547,42,3794,60,icmp,10.0.0.12,10.0.0.5,0.294691325
127,328,427.575,44,4014,60,icmp,10.0.0.12,10.0.0.5,0.32148145
128,381,457.623,48,4525,60,icmp,10.0.0.12,10.0.0.5,0.34157405
129,438,487.662,51,4830,60,icmp,10.0.0.12,10.0.0.5,0.361666625
130,498,517.722,54,5191,60,icmp,10.0.0.12,10.0.0.5,0.381759225
131,561,547.78,57,5529,60,icmp,10.0.0.12,10.0.0.5,0.38845675
132,627,577.806,58,5652,60,icmp,10.0.0.12,10.0.0.5,0.40854935
133,694,607.824,61,5962,60,icmp,10.0.0.12,10.0.0.5,0.428641925
134,764,637.859,64,6297,60,icmp,10.0.0.12,10.0.0.5,0.442037
135,836,667.917,66,6565,60,icmp,10.0.0.12,10.0.0.5,0.45543205
136,911,697.961,68,6815,60,icmp,10.0.0.12,10.0.0.5,0.47552465
137,988,727.999,71,7207,60,icmp,10.0.0.12,10.0.0.5,0.482222175
138,1068,758.042,72,7312,60,icmp,10.0.0.12,10.0.0.5,0.495617225
139,1149,788.081,74,7557,60,icmp,10.0.0.12,10.0.0.5,0.5090123
140,1232,818.128,76,7762,60,icmp,10.0.0.12,10.0.0.5,0.52240735
141,1317,848.175,78,7989,60,icmp,10.0.0.12,10.0.0.5,0.535802425
142,1404,878.196,80,8252,60,icmp,10.0.0.12,10.0.0.5,0.54249995
143,1494,908.247,81,8367,60,icmp,10.0.0.12,10.0.0.5,0.555895
144,1584,938.29,83,8643,60,icmp,10.0.0.12,10.0.0.5,0.569290075
145,1676,968.353,85,8857,60,icmp,10.0.0.12,10.0.0.5,0.582685125
146,1770,998.404,87,9083,60,icmp,10.0.0.12,10.0.0.5,0.58938265
147,1866,1028.426,88,9171,60,icmp,10.0.0.12,10.0.0.5,0.602777725
148,1963,1058.451,90,9380,60,icmp,10.0.0.12,10.0.0.5,0.616172775
149,2062,1088.497,92,9629,60,icmp,10.0.0.12,10.0.0.5,0.636265375
150,2162,1118.552,95,10053,60,icmp,10.0.0.12,10.0.0.5,0.649660425
151,2265,1148.593,97,10346,60,icmp,10.0.0.12,10.0.0.5,0.6630555
152,2370,1178.646,99,10635,60,icmp,10.0.0.12,10.0.0.5,0.6630555
153,2478,1178.646,99,10635,60,icmp,10.0.0.12,10.0.0.5,0.67645055
154,2586,1208.695,101,10905,60,icmp,10.0.0.12,10.0.0.5,0.683148075
155,2696,1238.714,102,11059,60,icmp,10.0.0.12,10.0.0.5,0.703240675
156,2806,1268.759,105,11414,60,icmp,10.0.0.12,10.0.0.5,0.7099382
157,2919,1298.806,106,11499,60,icmp,10.0.0.12,10.0.0.5,0.089664375
158,18,46.928,13,3556,60,icmp,10.0.0.13,10.0.0.5,0.1034589
159,18,76.97,15,451,60,icmp,10.0.0.13,10.0.0.5,0.1172534
160,18,107.01,17,709,60,icmp,10.0.0.13,10.0.0.5,0.1379452
161,18,137.05,20,1046,60,icmp,10.0.0.13,10.0.0.5,0.158636975
162,18,167.096,23,1409,60,icmp,10.0.0.13,10.0.0.5,0.200020525
163,18,197.133,29,2090,60,icmp,10.0.0.13,10.0.0.5,0.206917775
164,57,227.175,30,2193,60,icmp,10.0.0.13,10.0.0.5,0.227609575
165,97,257.223,33,2622,60,icmp,10.0.0.13,10.0.0.5,0.241404075
166,139,287.275,35,2885,60,icmp,10.0.0.13,10.0.0.5,0.24830135
167,184,317.325,36,3037,60,icmp,10.0.0.13,10.0.0.5,0.268993125
168,230,347.383,39,3417,60,icmp,10.0.0.13,10.0.0.5,0.28278765
169,279,377.437,41,3618,60,icmp,10.0.0.13,10.0.0.5,0.29658215
170,329,407.465,43,3828,60,icmp,10.0.0.13,10.0.0.5,0.3241712
171,382,437.513,47,4364,60,icmp,10.0.0.13,10.0.0.5,0.344862975
172,439,467.552,50,4691,60,icmp,10.0.0.13,10.0.0.5,0.36555475
173,499,497.612,53,5042,60,icmp,10.0.0.13,10.0.0.5,0.386246525
174,562,527.67,56,5450,60,icmp,10.0.0.13,10.0.0.5,0.3931438
175,628,557.696,57,5578,60,icmp,10.0.0.13,10.0.0.5,0.413835575
176,695,587.714,60,5895,60,icmp,10.0.0.13,10.0.0.5,0.43452735
177,765,617.749,63,6248,60,icmp,10.0.0.13,10.0.0.5,0.448321875
178,837,647.807,65,6500,60,icmp,10.0.0.13,10.0.0.5,0.4621164
179,912,677.851,67,6768,60,icmp,10.0.0.13,10.0.0.5,0.482808175
180,989,707.889,70,7147,60,icmp,10.0.0.13,10.0.0.5,0.489705425
181,1069,737.932,71,7243,60,icmp,10.0.0.13,10.0.0.5,0.50349995
182,1150,767.971,73,7461,60,icmp,10.0.0.13,10.0.0.5,0.517294475
183,1233,798.018,75,7743,60,icmp,10.0.0.13,10.0.0.5,0.531088975
184,1318,828.065,77,7981,60,icmp,10.0.0.13,10.0.0.5,0.5448835
185,1405,858.086,79,8182,60,icmp,10.0.0.13,10.0.0.5,0.55178075
186,1495,888.137,80,8276,60,icmp,10.0.0.13,10.0.0.5,0.565575275
187,1585,918.18,82,8484,60,icmp,10.0.0.13,10.0.0.5,0.5793698
188,1677,948.243,84,8706,60,icmp,10.0.0.13,10.0.0.5,0.593164325
189,1771,978.294,86,8924,60,icmp,10.0.0.13,10.0.0.5,0.600061575
190,1867,1008.316,87,9028,60,icmp,10.0.0.13,10.0.0.5,0.6138561
191,1964,1038.341,89,9285,60,icmp,10.0.0.13,10.0.0.5,0.627650625
192,2063,1068.387,91,9467,60,icmp,10.0.0.13,10.0.0.5,0.6483424
193,2163,1098.442,94,9818,60,icmp,10.0.0.13,10.0.0.5,0.662136925
194,2266,1128.483,96,10059,60,icmp,10.0.0.13,10.0.0.5,0.675931425
195,2371,1158.536,98,10294,60,icmp,10.0.0.13,10.0.0.5,0.675931425
196,2479,1158.536,98,10294,60,icmp,10.0.0.13,10.0.0.5,0.68972595
197,2587,1188.585,100,10534,60,icmp,10.0.0.13,10.0.0.5,0.6966232
198,2697,1218.604,101,10680,60,icmp,10.0.0.13,10.0.0.5,0.717315
199,2807,1248.649,104,11010,60,icmp,10.0.0.13,10.0.0.5,0.72421225
200,2920,1278.696,105,11116,60,icmp,10.0.0.13,10.0.0.5,0.084938225
201,19,29.691,12,4584,60,icmp,10.0.0.14,10.0.0.5,0.099094575
202,19,59.733,14,404,60,icmp,10.0.0.14,10.0.0.5,0.11325095
203,19,89.773,16,705,60,icmp,10.0.0.14,10.0.0.5,0.1344855
204,19,119.813,19,1105,60,icmp,10.0.0.14,10.0.0.5,0.15572005
205,19,149.859,22,1571,60,icmp,10.0.0.14,10.0.0.5,0.198189175
206,19,179.896,28,2155,60,icmp,10.0.0.14,10.0.0.5,0.20526735
207,58,209.938,29,2315,60,icmp,10.0.0.14,10.0.0.5,0.2265019
208,98,239.986,32,2695,60,icmp,10.0.0.14,10.0.0.5,0.240658275
209,140,270.038,34,2915,60,icmp,10.0.0.14,10.0.0.5,0.24773645
210,185,300.088,35,3050,60,icmp,10.0.0.14,10.0.0.5,0.268971
211,231,330.146,38,3474,60,icmp,10.0.0.14,10.0.0.5,0.283127375
212,280,360.2,40,3693,60,icmp,10.0.0.14,10.0.0.5,0.29728375
213,330,390.228,42,3911,60,icmp,10.0.0.14,10.0.0.5,0.3255965
214,383,420.276,46,4418,60,icmp,10.0.0.14,10.0.0.5,0.34683105
215,440,450.315,49,4748,60,icmp,10.0.0.14,10.0.0.5,0.3680656
216,500,480.375,52,5098,60,icmp,10.0.0.14,10.0.0.5,0.38930015
217,563,510.433,55,5483,60,icmp,10.0.0.14,10.0.0.5,0.396378325
218,629,540.459,56,5586,60,icmp,10.0.0.14,10.0.0.5,0.417612875
219,696,570.477,59,5997,60,icmp,10.0.0.14,10.0.0.5,0.43884745
220,766,600.512,62,6337,60,icmp,10.0.0.14,10.0.0.5,0.4530038
221,838,630.57,64,6636,60,icmp,10.0.0.14,10.0.0.5,0.467160175
222,913,660.614,66,6879,60,icmp,10.0.0.14,10.0.0.5,0.488394725
223,990,690.652,69,7325,60,icmp,10.0.0.14,10.0.0.5,0.495472925
224,1070,720.695,70,7434,60,icmp,10.0.0.14,10.0.0.5,0.509629275
225,1151,750.734,72,7684,60,icmp,10.0.0.14,10.0.0.5,0.52378565
226,1234,780.781,74,7956,60,icmp,10.0.0.14,10.0.0.5,0.537942025
227,1319,810.828,76,8224,60,icmp,10.0.0.14,10.0.0.5,0.5520984
228,1406,840.849,78,8529,60,icmp,10.0.0.14,10.0.0.5,0.559176575
229,1496,870.9,79,8648,60,icmp,10.0.0.14,10.0.0.5,0.57333295
230,1586,900.943,81,8891,60,icmp,10.0.0.14,10.0.0.5,0.587489325
231,1678,931.006,83,9075,60,icmp,10.0.0.14,10.0.0.5,0.601645675
232,1772,961.057,85,9273,60,icmp,10.0.0.14,10.0.0.5,0.608723875
233,1868,991.079,86,9402,60,icmp,10.0.0.14,10.0.0.5,0.62288025
234,1965,1021.104,88,9597,60,icmp,10.0.0.14,10.0.0.5,0.6370366
235,2064,1051.15,90,9887,60,icmp,10.0.0.14,10.0.0.5,0.65827115
236,2164,1081.205,93,10264,60,icmp,10.0.0.14,10.0.0.5,0.672427525
237,2267,1111.246,95,10497,60,icmp,10.0.0.14,10.0.0.5,0.6865839
238,2372,1141.299,97,10735,60,icmp,10.0.0.14,10.0.0.5,0.6865839
239,2480,1141.299,97,10735,60,icmp,10.0.0.14,10.0.0.5,0.700740275
240,2588,1171.348,99,10969,60,icmp,10.0.0.14,10.0.0.5,0.70781845
241,2698,1201.367,100,11059,60,icmp,10.0.0.14,10.0.0.5,0.729053
242,2808,1231.412,103,11366,60,icmp,10.0.0.14,10.0.0.5,0.7361312
243,2921,1261.459,104,11489,60,icmp,10.0.0.14,10.0.0.5,0.079675775
244,20,14.716,11,1788,60,icmp,10.0.0.15,10.0.0.5,0.094162275
245,20,44.758,13,292,60,icmp,10.0.0.15,10.0.0.5,0.108648775
246,20,74.798,15,463,60,icmp,10.0.0.15,10.0.0.5,0.130378525
247,20,104.838,18,869,60,icmp,10.0.0.15,10.0.0.5,0.152108275
248,20,134.884,21,1267,60,icmp,10.0.0.15,10.0.0.5,0.1955678
249,20,164.921,27,2008,60,icmp,10.0.0.15,10.0.0.5,0.20281105
250,59,194.963,28,2139,60,icmp,10.0.0.15,10.0.0.5,0.2245408
251,99,225.011,31,2418,60,icmp,10.0.0.15,10.0.0.5,0.2390273
252,141,255.063,33,2684,60,icmp,10.0.0.15,10.0.0.5,0.24627055
253,186,285.113,34,2818,60,icmp,10.0.0.15,10.0.0.5,0.268000325
254,232,315.171,37,3158,60,icmp,10.0.0.15,10.0.0.5,0.282486825
255,281,345.225,39,3411,60,icmp,10.0.0.15,10.0.0.5,0.296973325
256,331,375.253,41,3672,60,icmp,10.0.0.15,10.0.0.5,0.325946325
257,384,405.301,45,4098,60,icmp,10.0.0.15,10.0.0.5,0.347676075
258,441,435.34,48,4486,60,icmp,10.0.0.15,10.0.0.5,0.36940585
259,501,465.4,51,4808,60,icmp,10.0.0.15,10.0.0.5,0.3911356
260,564,495.458,54,5243,60,icmp,10.0.0.15,10.0.0.5,0.39837885
261,630,525.484,55,5329,60,icmp,10.0.0.15,10.0.0.5,0.4201086
262,697,555.502,58,5651,60,icmp,10.0.0.15,10.0.0.5,0.44183835
263,767,585.537,61,5973,60,icmp,10.0.0.15,10.0.0.5,0.45632485
264,839,615.595,63,6158,60,icmp,10.0.0.15,10.0.0.5,0.47081135
265,914,645.639,65,6378,60,icmp,10.0.0.15,10.0.0.5,0.492541125
266,991,675.677,68,6821,60,icmp,10.0.0.15,10.0.0.5,0.499784375
267,1071,705.72,69,6927,60,icmp,10.0.0.15,10.0.0.5,0.514270875
268,1152,735.759,71,7199,60,icmp,10.0.0.15,10.0.0.5,0.528757375
269,1235,765.806,73,7423,60,icmp,10.0.0.15,10.0.0.5,0.543243875
