,Duration,N_Packets,N_Bytes,Idle_timeout,Protocol,Source_ip,Destination_ip
101,19,80,4800,60,icmp,10.0.1.16,10.0.1.3
102,339.36,80,4800,60,icmp,10.0.1.17,10.0.1.3
103,339.355,320,19600,60,tcp,10.0.1.5,10.0.1.3
104,339.09,80,6400,60,tcp,10.0.1.2,10.0.1.3
105,338.82,240,14800,60,tcp,10.0.1.4,10.0.1.3
106,338.625,120,7200,60,icmp,10.0.1.19,10.0.1.3
107,337.83,440,39480,60,tcp,10.0.1.4,10.0.1.3
108,336.895,120,7200,60,tcp,10.0.1.6,10.0.1.3
109,336.835,80,4800,60,tcp,10.0.1.5,10.0.1.3
110,336.41,80,6080,60,tcp,10.0.1.10,10.0.1.3
111,336.385,120,8640,60,tcp,10.0.1.11,10.0.1.3
112,335.715,120,8000,60,tcp,10.0.1.13,10.0.1.3
113,334.725,120,7200,60,icmp,10.0.1.5,10.0.1.3
114,334.62,120,7200,60,icmp,10.0.1.18,10.0.1.3
115,333.965,80,4800,60,icmp,10.0.1.5,10.0.1.3
116,333.905,120,7200,60,icmp,10.0.1.10,10.0.1.3
117,333.89,80,4800,60,tcp,10.0.1.12,10.0.1.3
118,333.065,80,4800,60,tcp,10.0.1.13,10.0.1.3
119,333.065,80,4800,60,icmp,10.0.1.2,10.0.1.3
120,332.61,80,6240,60,tcp,10.0.1.16,10.0.1.3
121,332.235,80,4800,60,icmp,10.0.1.10,10.0.1.3
122,330.92,80,6240,60,tcp,10.0.1.1,10.0.1.3
123,330.655,80,6240,60,tcp,10.0.1.1,10.0.1.3
124,330.595,120,7200,60,icmp,10.0.1.17,10.0.1.3
125,330.49,160,9600,60,icmp,10.0.1.12,10.0.1.3
126,330.435,160,9600,60,icmp,10.0.1.13,10.0.1.3
127,330.43,120,7200,60,icmp,10.0.1.15,10.0.1.3
128,330.42,160,9600,60,icmp,10.0.1.17,10.0.1.3
129,330.41,80,4800,60,icmp,10.0.1.18,10.0.1.3
130,330.405,80,4800,60,icmp,10.0.1.1,10.0.1.3
131,330.4,120,7200,60,icmp,10.0.1.10,10.0.1.3
132,323.525,80,4800,60,icmp,10.0.1.11,10.0.1.3
133,323.515,80,4800,60,icmp,10.0.1.4,10.0.1.3
134,323.3,80,4800,60,tcp,10.0.1.5,10.0.1.3
135,323.115,120,7200,60,tcp,10.0.1.8,10.0.1.3
136,322.735,80,4800,60,icmp,10.0.1.19,10.0.1.3
137,322.185,120,7200,60,icmp,10.0.1.16,10.0.1.3
138,322.13,80,4800,60,icmp,10.0.1.17,10.0.1.3
139,322.11,80,4800,60,icmp,10.0.1.4,10.0.1.3
140,322.095,200,12000,60,icmp,10.0.1.5,10.0.1.3
141,322.085,120,7200,60,icmp,10.0.1.7,10.0.1.3
142,322.08,80,4800,60,icmp,10.0.1.8,10.0.1.3
143,322.075,80,6400,60,tcp,10.0.1.17,10.0.1.3
144,321.835,160,9600,60,icmp,10.0.1.7,10.0.1.3
145,321.555,80,4800,60,icmp,10.0.1.10,10.0.1.3
146,321.555,200,12000,60,icmp,10.0.1.8,10.0.1.3
147,321.545,120,7200,60,icmp,10.0.1.2,10.0.1.3
148,321.495,80,4800,60,icmp,10.0.1.8,10.0.1.3
149,321.38,80,4800,60,icmp,10.0.1.9,10.0.1.3
150,321.37,80,7680,60,udp,10.0.1.9,10.0.1.3
151,321.14,80,7680,60,udp,10.0.1.8,10.0.1.3
152,320.96,80,4800,60,icmp,10.0.1.9,10.0.1.3
153,320.535,80,4800,60,icmp,10.0.1.10,10.0.1.3
154,320.53,80,4800,60,icmp,10.0.1.5,10.0.1.3
155,320.375,120,7200,60,icmp,10.0.1.15,10.0.1.3
156,320.3,120,7200,60,icmp,10.0.1.7,10.0.1.3
