 cookie=0x0, duration=49.948s, table=0, n_packets=2, n_bytes=120, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=577,dl_vlan_pcp=0,dl_src=00:05:1e:35:28:59,dl_dst=00:03:ba:a1:f7:5c,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=49.948s, table=0, n_packets=2, n_bytes=120, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=577,dl_vlan_pcp=0,dl_src=00:05:1e:35:23:27,dl_dst=00:03:ba:a1:f7:5c,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=49.948s, table=0, n_packets=3, n_bytes=180, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=577,dl_vlan_pcp=0,dl_src=00:03:ba:82:f7:ba,dl_dst=00:03:ba:a1:f7:5c,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=49.948s, table=0, n_packets=3, n_bytes=180, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=577,dl_vlan_pcp=0,dl_src=00:03:ba:24:3f:6c,dl_dst=00:03:ba:a1:f7:5c,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=49.948s, table=0, n_packets=2, n_bytes=120, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=577,dl_vlan_pcp=0,dl_src=00:a0:b8:18:ab:39,dl_dst=00:03:ba:a1:f7:5c,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=49.948s, table=0, n_packets=2, n_bytes=120, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=577,dl_vlan_pcp=0,dl_src=00:a0:b8:18:ce:70,dl_dst=00:03:ba:a1:f7:5c,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=49.948s, table=0, n_packets=4, n_bytes=280, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=621,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:01:27:f0,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=6607,tp_dst=80 actions=drop
 cookie=0x0, duration=49.938s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=48,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:14:5e:b7:15:21,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=1593,tp_dst=2671 actions=drop
 cookie=0x0, duration=49.930s, table=0, n_packets=2, n_bytes=120, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:21:28:3f:d3:8e,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=49.921s, table=0, n_packets=2, n_bytes=120, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:0f:07:a2,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
